Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Duration (in weeks),School Type,School Program,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO Currency (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO Currency (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,Last Leadership Hiring Date,Number of Events,CB Rank (Organization),BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,IPqwery - Most Popular Trademark Class,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),School Method
Nubank,https://www.crunchbase.com/organization/nubank,"Banking, Credit Cards, Financial Services, FinTech, Payments","São Paulo, Sao Paulo, Brazil","Nubank is a digital bank that offers digital credit cards, transfers, and payments.",93,Latin America,$100M to $500M,Active,2013-05-06,day,,,,,For Profit,https://www.nubank.com.br,https://twitter.com/nubankbrasil,https://www.facebook.com/nubank,https://www.linkedin.com/company/nubank/,press@nubank.com.br,0800 591 2117,124,Unicorn,"Nubank issues, administrate, processes, and transfers payments related to post-paid credit cards and equity investment in other entities. It serves clients in Brazil. The company launched its proprietary loyalty rewards program (""Nubank Rewards""), as well as a digital account (""NuConta"") that is already used by more than 17 million people. In Cristina Junqueira, David Velez, and Edward Wible founded EO2 Solucoes de Pagamento on May 6, 2013 that became Nubank in on June 25, 2013. It has its headquarters in São Paulo in Brazil.",,,,,,,,,,,,,,"Financial Services, Lending and Investments, Payments",3,"Adam Edward Wible, Cristina Junqueira, David Velez",1001-5000,11,Late Stage Venture,2021-01-28,400000000,USD,400000000,Series G,400000000,USD,400000000,Series G,1128300000,USD,1128300000,1507602392,USD,1507602392,"Goldman Sachs, Tencent Holdings, Ribbit Capital, Founders Fund, Sequoia Capital",12,18,3,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,104,56,2,"2,171,869",40,0,7,,Insurance; financial affairs,,,,
Loggi,https://www.crunchbase.com/organization/loggi,"Delivery, Delivery Service, Internet, Logistics, Same Day Delivery","São Paulo, Sao Paulo, Brazil",Loggi is a delivery company that uses technology to link its customers to a network of couriers.,414,Latin America,$10M to $50M,Active,2013-06-20,day,,,,,For Profit,https://www.loggi.com,http://twitter.com/loggibrasil,https://www.facebook.com/loggi,http://www.linkedin.com/company/loggi,contato@loggi.com,+55 11 4020-1460,16,Unicorn,"Loggi is connecting Brazil, using technology to reinvent logistics with a fast, cost-efficient, and reliable network across e-commerce, wholesale food delivery, and courier services. Loggi is unlocking the growth of the on-demand economy, supporting new commerce for Brazil’s large, young, urban population. The company was founded in 2013 and is based in São Paulo, Brazil.",,,,,,,,,,,,,,"Administrative Services, Internet Services, Transportation",3,"Arthur Debert, Eduardo Wexler, Fabien Mendez",1001-5000,8,Late Stage Venture,2021-03-01,205000000,USD,205000000,Series F,205000000,USD,205000000,Series F,500000000,USD,500000000,500001000,USD,500001000,"SoftBank, GGV Capital, Dragoneer Investment Group, Microsoft, Google",9,16,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,,459,107,,"143,597",23,,,,,,,,
RecargaPay,https://www.crunchbase.com/organization/recargapay,"Financial Services, FinTech, Mobile Payments","São Paulo, Sao Paulo, Brazil",RecargaPay offers a complete ecosystem of financial services and mobile payments.,547,Latin America,$1M to $10M,Active,2010-02-01,day,,,,,For Profit,https://recargapay.com.br/,http://twitter.com/recargapay,https://www.facebook.com/recargapay,https://www.linkedin.com/company/recargapay/,rodrigo@recargapay.com,,30,,"RecargaPay is a leading fintech in Brazil providing seamless payment experiences for frequent and essential payments, with the mission to democratize mobile payments and financial services. The company is creating a mobile money ecosystem where banked and unbanked interact, providing consumers and businesses a one stop shop for all their financial needs. RecargaPay is transforming how people pay by providing the most convenient way to replace cash : making it easy to cash in (boleto, credit card, debit cards, loans, QR codes, mPOS) and cash out (top ups, bill payments, transport, p2p, gift cards, prepaid card, parking, QR code). Founded in 2010 by Rodrigo Teijeiro (CEO), Alvaro Teijeiro (CTO) and Gustavo Victorica (COO), RecargaPay has raised over US$ 63 million in venture capital from a group of investors led by The IFC, IDC Ventures, ATW, The Venture City, DN Capital, and FJ Labs.",,,,,,,,,,,,,,"Financial Services, Mobile, Payments, Software",3,"Alvaro Teijeiro, Gustavo Victorica, Rodrigo Teijeiro",101-250,7,Late Stage Venture,2021-02-24,70000000,USD,70000000,Series C,70000000,USD,70000000,Series C,98600000,USD,98600000,134600000,USD,134600000,"FJ Labs, Daniel Curran, DN Capital, Ventech, Fabrice Grinda",3,14,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,602,32,1,"164,380",21,,,,,,,,
Descomplica,https://www.crunchbase.com/organization/descomplica,"E-Learning, EdTech, Education, Higher Education, Video on Demand","Rio De Janeiro, Rio de Janeiro, Brazil",Descomplica is a provider of an online educational platform designed to prepare students for college entrance exams.,666,Latin America,$10M to $50M,Active,2011-01-01,year,,,,,For Profit,http://www.descomplica.com.br,http://twitter.com/descomplica,https://www.facebook.com/descomplica.vestibulares/,https://www.linkedin.com/company/descomplica/,descomplica@descomplica.com.br,0800-011-7572,22,,"Descomplica offers an educational platform that provides students with subject and course materials. It provides students with pre-recorded classes, live classes, online monitoring for math and science subjects. The company was founded in 2011 and is based in Rio de Janeiro, Brazil.",,,,,,,,,,,,,,"Education, Media and Entertainment, Software, Video",1,Marco Fisbhen,501-1000,6,Late Stage Venture,2021-02-18,450000000,BRL,82918739,Series E,450000000,BRL,82918739,Series E,113978737,USD,113978737,113978737,USD,113978737,"SoftBank, 500 Startups, Valor Capital Group, Daniel Curran, Amadeus Capital Partners",5,18,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,726,86,9,"14,976",35,,,,,,,,
Locaweb,https://www.crunchbase.com/organization/locaweb,"Cloud Data Services, Email Marketing, Online Portals, SaaS, Web Development, Web Hosting","São Paulo, Sao Paulo, Brazil",Locaweb offers hosting services for Website and Web pages.,698,Latin America,,Active,1998-01-01,year,2000-02-07,day,,,For Profit,http://www.locaweb.com.br/,http://twitter.com/locaweb,http://www.facebook.com/locaweb/,http://www.linkedin.com/company/locaweb/,,55 11 3544 0545,9,,"Locaweb offers hosting services for Website and Web pages. It offers infrastructure as a services, including cloud servers, physical servers, customized architectures, and data center services; and platform as a services that include Website hosting, hosting in cloud, reseller hosting, domain registration, email, and other services.  Locaweb provides software as a services, such as payment, price monitoring, SMTP, cloud storage, and other solutions; and marketing as a services that include email marketing, email marketing reseller, SEO, social media, and Google AdWords. Claudio Gora and Gilberto Mautner founded it in 1997, with its headquarters in São Paulo in Brazil.",,,1,1,1,,,,,,,,,"Information Technology, Internet Services, Sales and Marketing, Software",2,"Claudio Gora, Gilberto Mautner",1001-5000,2,IPO,2021-02-10,435000000,USD,435000000,Post-IPO Equity,435000000,USD,435000000,Post-IPO Equity,435000000,USD,435000000,435000000,USD,435000000,Silver Lake,,1,6,Made Acquisitions,,,,,,,,,,,,Public,2000-02-07,,,,,,,,,LWSA3,https://www.crunchbase.com/ipo/locaweb-ipo--cf26a4bb,B3 - Brazil Stock Exchange and OTC Market,,5,759,131,13,"94,899",4,,,,,,,,
Alice,https://www.crunchbase.com/organization/alice-8d5d,"Health Care, Health Insurance, Medical","São Paulo, Sao Paulo, Brazil",Alice is a tech-powered healthcare company that aims to make people healthier through B2C health insurance.,"1,048",Latin America,,Active,2019-03-11,day,,,,,For Profit,https://www.alice.com.br/,,,https://www.linkedin.com/company/alice/,,,2,,"Alice is a technology healthcare company reinventing the health insurance industry in Brazil. Alice offers B2C health insurance combined with proprietary primary care, delivered digitally and in-person. Primary care teams, namely Health Squads, look after members and coordinate their care within a network of high-quality providers, rewarded by a strongly aligned incentive model. Primary care and providers are fully and seamlessly integrated through Alice digital health platform, creating a virtual verticalized health system that delivers better health outcomes at lower costs.",,,,,,,,,,,,,,"Financial Services, Health Care",3,"André Florence, Guilherme Azevedo, Matheus Moraes",101-250,3,Early Stage Venture,2021-02-11,33300000,USD,33300000,Series B,33300000,USD,33300000,Series B,47800000,USD,47800000,47800000,USD,47800000,"Endeavor Catalyst, Kaszek Ventures, MAYA Capital, Canary, ThornTree Capital Partners",3,5,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"1,137",30,,,,,,,,,,,
Wildlife Studios,https://www.crunchbase.com/organization/wildlife-studios,"Gaming, Mobile, Video Games","São Paulo, Sao Paulo, Brazil",Wildlife Studios is a gaming company that develops and publishes mobile games.,"1,348",Latin America,$10B+,Active,2011-01-01,year,,,,,For Profit,http://www.wildlifestudios.com,https://twitter.com/wildlifestudios,https://www.facebook.com/wildlifestudios/,https://www.linkedin.com/company/wildlife-studios/,media@wildlifestudios.com,,16,Unicorn,"Wildlife Studios is a mobile gaming company that develops games that will mark a generation. The company strives in its major disciplines, which are product, engineering, art, marketing, and data, expanding and building talented and passionate teams in its offices in Argentina, Brazil, Ireland, and the US.",,,,,,,,,,,,,,"Gaming, Mobile",3,"Arthur Lazarte, Michael Mac-Vicar, Victor Lazarte",501-1000,2,Early Stage Venture,2020-08-14,120000000,USD,120000000,Series B,120000000,USD,120000000,Series B,180000000,USD,180000000,180000000,USD,180000000,"Vulcan Capital, Benchmark, Bessemer Venture Partners, Next Play Ventures, Human Capital",2,13,,,,,,,,,,,,,,Private,,,,,,,,,,,,,,,"1,459",46,,,10,,,,,,,,
iFood,https://www.crunchbase.com/organization/ifood,"Delivery, E-Commerce, Food and Beverage, Food Delivery, Mobile, Restaurants","Campina, Sao Paulo, Brazil",IFood is an online food delivery portal that develops an innovative system so users can order deliveries on the internet with no hassle.,"1,351",Latin America,$10M to $50M,Active,2011-05-15,day,,,,,For Profit,https://www.ifood.com.br/,https://twitter.com/ifood,https://www.facebook.com/iFood/,https://www.linkedin.com/company/ifood-/,ifood@ifood.com.br,,83,Unicorn,"IFood is an online food delivery portal that develops an innovative system so users can order deliveries on the internet with no hassle. It aims to revolutionize the world of food for a more practical and enjoyable life. In an innovative technology environment and the challenge of strong growth with the delivery partners, restaurants, and customers. Eduardo Baer, Felipe Ramos Fioravante, Gabriel Pinto, Guilherme Bonifacio, and Patrick Sigrist founded it on May 15, 2011 and is headquartered in Jundiaí, Brazil as a subsidiary of Movile Internet Móvel.",,,,,,,,,,,,,,"Administrative Services, Commerce and Shopping, Food and Beverage, Mobile, Transportation",6,"Eduardo Baer, Felipe Ramos Fioravante, Gabriel Pinto, Guilherme Bonifacio, Michel Eberhardt, Patrick Sigrist",1001-5000,7,Late Stage Venture,2018-11-13,500000000,USD,500000000,Series G,500000000,USD,500000000,Series G,591860000,USD,591860000,591860000,USD,591860000,"Movile, Just Eat, Innova Capital, Prosus & Naspers, Warehouse Investimentos",4,5,9,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,2,"1,462",97,43,,,,,,,,,,
Movile,https://www.crunchbase.com/organization/movile-latin-america,"E-Commerce, Information Services, Information Technology, Mobile","Campina, Sao Paulo, Brazil",Movile is a Brazilian mobile commerce platform that dreams to make the lives of a billion people better through their applications.,"1,644",Latin America,$500M to $1B,Active,1998-01-01,year,,,,,For Profit,http://www.movile.com/en/,http://twitter.com/MovileUS,http://www.facebook.com/Movile,http://www.linkedin.com/company/movile,communications@movile.com,55 11 2163 0600,137,Unicorn,"Movile is a Brazilian mobile commerce platform that operates in Latin America, USA, and France. The company works with people who are completely passionate to achieve this dream, empowered to build new businesses with global potential and driven to take risks to learn as fast as it grows.  Movile invests in content distribution platforms and Online-To-Offline (O2O) applications in the segments of children's education and other mobile content, food delivery, ticketing, and cloud logistics.  Movile is strongly supported by Naspers, a global internet and entertainment group and one of the largest technology investors in the world and a strategic partner and shareholder of Movile since 2008, and by Innova Capital, a global Venture Capital and Private Equity firm focused on long-term value creation and a strategic partner and shareholder of Movile since 2014.",Venture Capital,,10,16,15,1,1,,,,,,,"Commerce and Shopping, Information Technology, Mobile",8,"Andreas Blazoudakis, Eduardo Lins Henrique, Fabio Povoa, Fabricio Bloisi, Leonardo Constantino Oliveira, Leonardo Sales, Marcelo Sales, Rafael Duton",1001-5000,9,Late Stage Venture,2018-07-12,124000000,USD,124000000,Series I,124000000,USD,124000000,Series I,395000000,USD,395000000,395000000,USD,395000000,"MIH, Innova Capital, Prosus & Naspers, Rio Bravo",4,4,2,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,2020-03-31,1,"1,773",66,65,"19,095",14,0,6,,Scientific and electric apparatus and instruments,,,,
Gympass,https://www.crunchbase.com/organization/gympass,"Employee Benefits, Fitness, Human Resources, Wellness","Brasil, Sao Paulo, Brazil",Gympass is a fitness discovery platform connecting the world's network of fitness facilities to companies and its employees.,"1,944",Latin America,$50M to $100M,Active,2012-01-01,year,,,,,For Profit,https://www.gympass.com,https://twitter.com/gympass,https://www.facebook.com/GympassBrasil,https://www.linkedin.com/company/gympass/,contato@gympass.com,,23,Unicorn,"On a mission to defeat inactivity, Gympass helps companies revolutionize how inactive employees engage in physical activity, driving lasting behavioral change. Our 2000+ clients credit Gympass' unmatched variety, convenience, and flexibility with helping to improve employee engagement, individual performance, and overall business success.   Across 14 countries and over 50,000 gym and studio partners, Gympass partners with corporations to craft ongoing, personalized programs that will inspire your workforce to enroll, stay motivated, and unlock their full potential.",,,,,,,,,,,,,,"Administrative Services, Health Care, Sports",2,"Cesar Carvalho, Joao Barbosa",501-1000,5,Late Stage Venture,2019-06-12,300000000,USD,300000000,Series D,300000000,USD,300000000,Series D,300000000,USD,300000000,300000000,USD,300000000,"General Atlantic, Atomico, Valor Capital Group, SoftBank Vision Fund, Kaszek Ventures",4,12,1,Made Acquisitions,,,,,,,,,,,,Private,,,,,,,,,,,,,,1,"2,092",85,1,"120,932",71,0,1,,Scientific and electric apparatus and instruments,,,,
