Organization Name,Industries,Description,CB Rank,Min Revenue,Max Revenue,Operating Status,Founded Date,Closed Date,Company Type,isWebsite,isTwitter,isFacebook,isLinkedIn,isContactEmail,isPhoneNumber,Number of Articles,Industry Groups,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Total Funding Amount Currency (in USD),Number of Lead Investors,Number of Investors,Number of Acquisitions,makeAcquisition,wasAcquisition,IPO Status,Number of Events,BuiltWith - Active Tech Count,Apptopia - Number of Apps,Apptopia - Downloads Last 30 Days,G2 Stack - Total Products Active,IPqwery - Patents Granted,IPqwery - Trademarks Registered,Country,City,State,Headquarters Regions,isInTop100
La Haus,"Information Technology, Marketplace, Real Estate, Residential",La Haus is a residential marketplace used to help people find an ideal home.,"1,457","1,000,000",10000000,Active,01/04/2017,,For Profit,1,1,1,1,1,0,8,"Commerce and Shopping, Information Technology, Real Estate",5,101-250,7,Early Stage Venture,14/01/2021,58174998,3,12,0,0,0,Private,0,62,0,0,10,0,0,Colombia,Medellín,Antioquia,Latin America,1
Elenas,"Beauty, Cosmetics, Direct Sales, E-Commerce","Elenas is a Latin American social commerce platform, empowering micro-entrepreneurs to start their online store.","2,462",0,0,Active,01/01/2018,,For Profit,1,0,1,0,0,0,7,"Commerce and Shopping, Consumer Goods, Sales and Marketing",2,0-50,3,Early Stage Venture,04/03/2021,8540000,1,6,0,0,0,Private,0,26,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Dondo,,Get what you want giving what you have,"3,109",0,0,Active,01/04/2019,,For Profit,1,1,1,1,1,0,12,,4,0-50,2,Seed,19/01/2021,2100000,1,13,0,0,0,Private,0,7,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Aflore,"Credit, Finance, Financial Services, FinTech",Aflore is a developer of tech-enabled direct sales channel to help informal advisors realize goals through loans and financial products.,"3,449","1,000,000",10000000,Active,01/01/2012,,For Profit,1,1,1,1,1,1,4,"Financial Services, Lending and Investments",2,51-100,12,,05/02/2021,29092905,3,5,0,0,0,Private,0,47,0,0,10,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Backstartup,"Accounting, Financial Services, Small and Medium Businesses",SwaS (Software with a services) that automates and replaces the accountant for Latin Americas SMBs,"3,607",0,1000000,Active,08/09/2014,,For Profit,1,1,1,1,1,0,2,"Financial Services, Other, Professional Services",4,51-100,4,Seed,17/02/2021,2105000,1,7,0,0,0,Private,0,44,0,0,33,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Polymath Ventures,"FinTech, Rental Property, Transportation",Polymath Ventures is a Digital Venture Group that builds from scratch and scales disruptive tech ventures for Latin America's middle class.,"4,354","1,000,000",10000000,Active,01/10/2011,,For Profit,1,1,1,1,1,1,10,"Financial Services, Real Estate, Transportation",2,0-50,4,Early Stage Venture,01/01/2020,9425000,0,0,0,0,0,Private,0,47,0,0,15,0,0,Colombia,Bogotá,Distrito Especial,Latin America,0
Liftit,"Freight Service, Internet, Last Mile Transportation, Logistics, Supply Chain Management, Transportation",Liftit is the leading technology platform to automate and execute last-mile truck deliveries across Latin America.,"5,562",0,1000000,Active,07/01/2017,,For Profit,1,1,1,1,1,1,8,"Internet Services, Transportation",3,251-500,3,Early Stage Venture,08/07/2020,39000000,3,26,0,0,0,Private,0,57,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Chiper,"B2B, E-Commerce, Retail Technology",Chiper is a Colombian e-commerce platform for independent merchants that enables corner stores in Latin America to grow and thrive.,"6,199","50,000,000",100000000,Active,01/01/2018,,For Profit,1,0,1,1,1,1,19,"Commerce and Shopping, Hardware, Other, Software",3,101-250,3,Early Stage Venture,16/10/2020,25000000,4,9,0,0,0,Private,0,88,0,0,5,0,0,Colombia,Cundinamarca,Distrito Especial,Latin America,1
Habi,"Home Renovation, Real Estate, Real Estate Investment, Residential, Software",Habi is a digital platform that aims to simplify the process of buying and selling real estate properties in Colombia.,"7,387","1,000,000",10000000,Active,01/07/2019,,For Profit,1,1,1,1,1,1,2,"Financial Services, Real Estate, Software",2,0-50,2,Early Stage Venture,26/08/2020,15500000,2,15,0,0,0,Private,0,30,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
Valiu,"Cryptocurrency, Finance, Financial Services, FinTech","Valiu is a developing a digital remittance platform that enables migrants to send money via cash, debit, or credit.","7,499","1,000,000",10000000,Active,17/09/2018,,For Profit,1,1,1,1,1,0,6,"Financial Services, Payments, Software",3,0-50,2,Seed,04/12/2020,6477000,3,9,0,0,0,Private,0,32,0,0,0,0,0,Colombia,Bogotá,Distrito Especial,Latin America,1
